GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS
By Year,2016-17,1610612765,DET,2017-04-12T00:00:00,19,8,11,0.421,7.7,1.2,3.4,0.359,0.5,1.8,0.286,0.2,0.4,0.5,0.4,1.7,2.2,0.4,0.7,0.1,0.1,0.1,0.3,0.4,3.2,-0.2,5.9,1,0,1,1,1,2,1,2,2,2,2,1,2,1,1,2,1,2,1,2,1,2,1,1,2,1,2,2,2,1,1,264,2016-17
By Year,2016-17,1610612743,DEN,2017-04-12T00:00:00,22,12,10,0.545,7.5,1.5,3.3,0.452,0.4,1.3,0.321,0.4,0.5,0.8,0.2,0.5,0.8,0.5,0.4,0.3,0.0,0.3,0.5,0.4,3.8,2.6,6.0,0,0,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,2,1,1,264,2016-17
By Year,2016-17,1610612751,BKN,2017-04-12T00:00:00,57,15,42,0.263,21.7,3.0,6.7,0.45,1.0,3.2,0.321,1.2,1.6,0.72,0.4,2.9,3.3,1.9,1.0,0.9,0.1,0.2,1.6,1.5,8.2,-1.6,17.0,0,0,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,264,2016-17
By Year,2017-18,1610612755,PHI,2017-10-23T00:00:00,4,1,3,0.25,18.9,2.3,6.8,0.333,0.0,0.0,0.0,1.5,3.0,0.5,0.8,1.5,2.3,1.8,1.5,0.5,0.3,1.5,1.5,2.3,6.0,-10.8,12.1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2017-18
By Year,2017-18,1610612747,LAL,2017-12-23T00:00:00,31,11,20,0.355,33.9,3.9,11.1,0.349,1.5,5.1,0.297,0.8,1.6,0.48,1.3,5.7,6.9,7.1,2.9,1.4,1.0,1.0,2.2,1.5,10.0,-2.1,33.2,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2017-18
By Year,2017-18,1610612738,BOS,2017-12-28T00:00:00,39,29,10,0.744,31.1,4.8,9.3,0.512,1.4,3.0,0.475,3.3,3.9,0.83,0.8,4.8,5.6,1.4,1.3,1.0,0.8,0.5,2.2,2.7,14.2,4.6,27.1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2017-18
By Year,2017-18,1610612756,PHX,2017-12-29T00:00:00,37,14,23,0.378,21.9,3.4,8.9,0.383,0.6,2.3,0.244,1.7,3.1,0.561,1.0,2.6,3.6,1.1,1.8,1.0,0.3,0.7,2.8,2.5,9.1,-7.2,17.1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2017-18
By Year,2017-18,1610612758,SAC,2017-12-19T00:00:00,29,10,19,0.345,25.1,3.8,9.5,0.402,0.4,1.3,0.289,1.4,2.1,0.667,0.4,2.3,2.8,3.7,2.2,0.9,0.2,0.7,2.2,2.2,9.4,-6.3,19.4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2017-18
By Year,2017-18,1610612753,ORL,2017-12-26T00:00:00,15,8,7,0.533,19.0,2.0,4.9,0.405,0.3,1.2,0.278,0.9,1.2,0.778,0.8,2.9,3.7,0.7,1.0,0.7,1.0,0.2,1.7,1.6,5.3,-2.8,14.8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2017-18
By Year,2017-18,1610612741,CHI,2017-12-29T00:00:00,32,10,22,0.313,29.5,5.3,12.8,0.411,2.2,6.4,0.338,2.0,2.4,0.831,1.1,6.3,7.4,1.3,1.3,0.5,0.5,0.7,1.6,2.7,14.7,-4.2,27.4,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2017-18
