permno,date,nameendt,exchcd,ncusip,ticker,comnam,tsymbol,trdstat,secstat,permco,hsiccd,cusip,dlstcd,hsicmg,hsicig,acperm,accomp
80069,5/31/2002,,0,45838W10,,INTERACTIVE GROUP INC NEW,,X,X,12204,8731,04280A10,,,,,
80069,3/29/1996,,0,45837Q10,,INTERACTIVE INC,,X,X,12204,8731,04280A10,,,,,
87264,11/29/2013,,3,45841V10,ININ,INTERACTIVE INTELLIGENCE GRP INC,ININ,A,R,17131,7372,45841V10,,,,,
87264,6/30/2008,,3,45839M10,ININ,INTERACTIVE INTELLIGENCE INC,ININ,A,R,17131,7372,45841V10,,73,737,,
87609,3/31/2000,,3,45795510,IINV,INTERACTIVE INVESTOR INTL PLC,IINV,A,R,18008,7370,45795510,,,,,
86274,7/30/1999,,3,45838M10,IMGK,INTERACTIVE MAGIC INC,IMGK,A,R,16223,7370,45169Q10,,,,,
75996,7/31/1990,,3,45837U10,IMTX,INTERACTIVE MEDIA TECHS INC,IMTX,A,R,10314,7370,45837U10,,,,,
79983,4/28/1995,,3,45893710,ITAM,INTERACTIVE MEDICAL TECHS LTD,ITAM,A,R,12716,2830,45893710,,,,,
77107,9/30/1992,,3,45837P10,INNN,INTERACTIVE NETWORK INC,INNN,A,R,11184,3650,45837P10,,,,,
87171,8/31/1999,1/19/2000,3,45839N10,IPIX,INTERACTIVE PICTURES CORP,IPIX,A,R,16698,7370,45839N10,,,,,
44645,4/30/1986,6/21/1988,3,45837610,INRD,INTERACTIVE RADIATION,INRD,A,R,6142,3810,45765610,,,,,
89042,11/29/1985,,3,45816210,ITAS,INTERACTIVE SERVICES INC,ITAS,A,R,7483,6281,45816210,,,,,
44653,8/31/1981,,3,45837710,ISCO,INTERACTIVE SYSTEMS CORP,,A,R,2396,7372,45837710,,,,,
84742,7/31/2006,,3,45840F10,ISWI,INTERACTIVE SYSTEMS WORLDWIDE IN,ISWI,A,R,15221,7373,45840F10,,,,,
83712,8/30/1996,,3,45794210,ITNL,INTERACTIVE TECH CORP INC,ITNL,A,R,14566,4890,45794210,,48,489,,
10091,2/29/1988,,3,45837810,ITXI,INTERACTIVE TECHNOLOGIES INC,ITXI,A,R,8034,3660,45837810,,,,,
78840,12/31/2003,,3,45840Q10,IACI,INTERACTIVECORP,IACI,A,R,11901,4833,44919P50,,,,,
84220,11/28/1997,,3,45841910,ICCA,INTERAMERICAS COMMUNICATIONS COR,ICCA,A,R,15116,4810,33763T10,,,,,
44661,5/31/1985,,3,45842110,IRND,INTERAND CORP,IRND,A,R,6031,3660,45842110,,,,,
78939,6/28/1996,,1,45843T10,IIC,INTERCAPITAL CA INS MUNI INC TR,,A,R,29755,6726,45843T10,,,,,
79656,2/28/1995,,1,45843Q10,IQC,INTERCAPITAL CALIF QTY MUN SECS,,A,R,29966,6726,45843Q10,,,,,
57111,11/29/1996,,1,45843910,ICB,INTERCAPITAL INCOME SECS INC,,A,R,20986,6723,45843910,,,,,
76569,5/31/1991,,1,45844B10,IMB,INTERCAPITAL INS MUNI BOND TR,,A,R,28986,6726,45844B10,,,,,
80203,11/28/1997,,1,45844K10,ICS,INTERCAPITAL INSD CA MUNI SECS,,A,R,30258,6726,45844K10,,,,,
80202,12/31/1998,,1,45844J10,IMS,INTERCAPITAL INSD MUNI SECS,,A,R,30257,6726,45844J10,331,,,86484,34961
78940,12/31/1998,,1,45844E10,IIM,INTERCAPITAL INSURED MUNI INC TR,,A,R,29756,6726,45844E10,331,,,,
77314,1/31/1995,,1,45844D10,IMT,INTERCAPITAL INSURED MUNI TR,,A,R,29437,6726,45844D10,,,,,
79657,10/29/1993,,1,45843R10,IQN,INTERCAPITAL N Y QLTY MUN SECS,,A,R,29967,6726,45843R10,,,,,
77923,11/28/1997,,1,45844G10,IQI,INTERCAPITAL QUALITY MUN INC TR,,A,R,29568,6726,45844G10,,,,,
79658,12/31/1998,,1,45843U10,IQM,INTERCAPITAL QUALITY MUN SECS,,A,R,29968,6726,45843U10,331,,,86476,34961
76819,2/26/1993,,1,45844F10,IQT,INTERCAPITAL QUALITY MUNI INVT,,A,R,29079,6726,45844F10,,,,,
83146,6/30/1997,,3,45844M10,ITRC,INTERCARDIA INC,ITRC,A,R,14332,2830,45324E10,,,,,
10703,10/30/1987,,3,45892710,CARE,INTERCARE INC,CARE,A,R,7962,8080,45892710,,,,,
11879,5/28/1993,,3,45844C10,ICAR,INTERCARGO CORP,ICAR,A,R,9792,6330,45844C10,,,,,
80248,2/28/1997,,3,45844L10,ICEL,INTERCEL INC,ICEL,A,R,12827,4810,73936C10,,,,,
86123,12/29/2000,,3,45845L10,ICPT,INTERCEPT GROUP INC,ICPT,A,R,34784,6099,45845L10,,,,,
86123,9/30/2003,,3,45845L10,ICPT,INTERCEPT INC,ICPT,A,R,34784,6099,45845L10,,,,,
13643,9/30/2015,,3,45845P10,ICPT,INTERCEPT PHARMACEUTICALS INC,ICPT,A,R,54224,9999,45845P10,,,,,
90411,11/30/2004,,3,45845K10,INCX,INTERCHANGE CORP,INCX,A,R,45718,7389,53954W10,,,,,
44688,8/31/2004,,3,45844710,IFCJ,INTERCHANGE FINANCIAL SERV CORP,IFCJ,A,R,5270,6022,45844710,,,,,
44688,7/29/1994,,2,45844710,ISB,INTERCHANGE FINANCIAL SRVCS CORP,,A,R,5270,6022,45844710,,,,,
44688,12/31/1984,,3,45844810,ISBJ,INTERCHANGE ST BK SDLE BRK NJ,ISBJ,A,R,5270,6022,45844710,,,,,
16985,1/31/1962,,1,,,INTERCHEMICAL CORP,,A,R,22735,2893,45764110,,,,,
83812,1/31/1989,,3,45847510,ITCM,INTERCIM CORP,ITCM,A,R,7048,7372,45847510,,,,,
93136,11/30/2011,,3,45848320,ICLK,INTERCLICK INC,ICLK,A,R,53290,7819,45848320,,,,,
14254,11/30/2015,,3,45848820,ICLD,INTERCLOUD SYSTEMS INC,ICLD,A,R,54612,7389,45848820,,73,738,,
18278,9/30/1971,,1,45850610,ISS,INTERCO INC,,A,R,20987,3143,45850610,,,,,
77855,6/30/1994,,1,45850710,ISS,INTERCO INC NEW,,A,R,20987,2511,36092120,,,,,
62623,2/26/1982,,2,45852910,IC,INTERCOLE INC,,A,R,25694,3559,45852910,,,,,
76611,9/30/1991,,3,45853L10,ICBK,INTERCONTINENTAL BANK MIAMI FL,ICBK,A,R,10875,6020,45853L10,,,,,
44522,11/30/1982,7/20/1983,3,45853810,IDCC,INTERCONTINENTAL DIAMOND CORP,IDCC,A,R,2274,4810,45813410,,,,,
57664,6/29/1979,,1,45854020,ICD,INTERCONTINENTAL DIVERSIFIED,,A,R,25579,6552,45854020,,,,,
44709,9/30/1976,,3,45854210,ICDY,INTERCONTINENTAL DYNAMICS CORP,,A,R,2261,3662,45854210,,,,,
43204,1/31/1973,1/31/1973,3,45856010,,INTERCONTINENTAL ELECTRONICS COR,,A,R,2280,3660,44949410,,,,,
44717,1/31/1986,,3,45856410,ICEC,INTERCONTINENTAL ENERGY CORP,ICEC,A,R,2262,1382,45856410,,,,,
10840,10/31/1989,3/26/1992,3,45856510,ENTI,INTERCONTINENTAL ENTERPRISES INC,ENTI,A,R,8723,6210,45856510,,,,,
44725,11/30/1976,,3,45890410,IFCL,INTERCONTINENTAL FINL CORP,,A,R,2310,6310,45859310,,,,,
89704,5/31/2012,,1,45857P30,IHG,INTERCONTINENTAL HOTELS GRP PLC,IHG,A,R,43982,7011,45857P70,,,,,
33152,9/29/1967,,2,,INI,INTERCONTINENTAL INDUSTRS INC NV,,A,R,23901,1511,45857810,,,,,
44725,4/30/1997,,3,45859310,ILCO,INTERCONTINENTAL LIFE CORP,ILCO,A,R,2310,6310,45859310,,,,,
78469,11/30/1983,,3,45864210,ICCCF,INTERCONTINENTAL TECH CORP,ICCCF,A,R,5858,,45864210,,,,,
90993,1/29/2016,,1,45866F10,ICE,INTERCONTINENTALEXCHANGE GRP INC,ICE,A,R,48793,6231,45866F10,,,,,
90993,3/30/2007,,1,45865V10,ICE,INTERCONTINENTALEXCHANGE INC,ICE,A,R,48793,6231,45866F10,,62,623,,
85498,8/31/1999,,3,45865110,RENE,INTERCORP EXCELLE INC,RENE,A,R,15755,2030,45865110,,,,,
44733,5/31/1978,,3,45865610,ICFT,INTERCRAFT INDUSTRIES CORP,,A,R,2264,2499,45865610,,,,,
44741,1/31/1974,,3,45865910,IDAT,INTERDATA INC,,A,R,2272,3573,45865910,,,,,
86772,5/31/2001,,3,45865R10,DENT,INTERDENT INC,DENT,A,R,16436,8099,45865R20,,,,,
45306,10/31/1997,,2,45866A10,IDC,INTERDIGITAL COMMUNICATIONS CORP,,A,R,5184,3663,45867G10,,,,,
45306,4/30/2009,,3,45867G10,IDCC,INTERDIGITAL INC,IDCC,A,R,5184,3663,45867G10,,,,,
44760,12/31/1981,,3,45866110,IDYN,INTERDYNE COMPANY,,A,R,6257,3573,45866110,,,,,
87495,2/29/2000,,3,45866V10,IREP,INTEREP NATIONAL RADIO SALES INC,IREP,A,R,17491,4830,45866V10,,,,,
44768,9/30/1986,,3,45866510,IFSIA,INTERFACE FLOORING SYS INC,IFSIA,A,R,5925,2270,45866530,,,,,
44768,5/29/1992,,3,45866510,IFSIA,INTERFACE INC,IFSIA,A,R,5925,2270,45866530,,,,,
44840,4/30/1980,,3,45866610,INTR,INTERFACE MECHANISMS,,A,R,2372,3570,45878210,,,,,
44776,2/28/1992,,3,45866710,INTF,INTERFACE SYSTEMS INC,INTF,A,R,5912,7372,45866710,,,,,
10159,10/31/1989,,3,45866T10,ICTX,INTERFERENCE CONTROL TECHS IND,ICTX,A,R,8103,8730,45866T10,,,,,
44928,10/31/1997,,3,45890330,IFSC,INTERFERON SCIENCES INC,IFSC,A,R,2290,2830,45890340,,,,,
79702,9/30/1997,,0,45866R10,,INTERFILM INC,,X,X,12516,2834,69607740,,28,283,,
44784,8/31/1978,,3,45866810,IFIN,INTERFINANCIAL INC,,A,R,2288,6711,45866810,,,,,
76519,4/30/1991,,3,45867H10,INFB,INTERFIRST BANKCORP INC,INFB,A,R,28940,6030,45867H10,,,,,
56805,7/31/1986,,1,45891610,IFC,INTERFIRST CORP,,A,R,1721,6711,45891610,,,,,
10228,8/29/1986,,3,45867R10,IFND,INTERFUND CORP,IFND,A,R,8154,6140,45867R10,,,,,
44987,9/30/1985,,3,45892020,IGEM,INTERGEM INC,IGEM,A,R,5934,6610,30065820,,,,,
44792,12/31/1991,,3,45868310,INGR,INTERGRAPH CORP,INGR,A,R,2356,7373,45868310,,,,,
55678,10/31/2017,,3,45868510,INTG,INTERGROUP CORP,INTG,A,R,3091,6510,45868510,,,,,
76784,5/29/1992,,3,45868J10,IGHC,INTERGROUP HEALTHCARE CORP,IGHC,A,R,11077,6320,45868J10,,,,,
76932,1/31/1990,,3,45869P10,IHEIF,INTERHOME ENERGY INC,IHEIF,A,R,2381,4612,29250N10,,,,,
80135,6/30/1995,,3,45868P10,INTM,INTERIM SERVICES INC,INTM,A,R,12806,7363,78415310,,,,,
11801,3/31/1989,,3,45868L10,INSY,INTERIM SYSTEMS CORP,INSY,A,R,9602,7360,45868L10,,,,,
80636,6/28/1996,,3,45868810,INTXA,INTERIORS INC,INTXA,A,R,13168,5960,45868810,,,,,
89069,1/31/1985,,3,45869010,ILRI,INTERLABS ROBOTICS INC,ILRI,A,R,7210,3674,45869010,,,,,
15747,1/31/1997,,1,45870210,IK,INTERLAKE CORP,,A,R,20988,3312,45870210,,,,,
78304,9/30/1983,,3,45869410,ILDCF,INTERLAKE DEVELOPMENT CORP,ILDCF,A,R,2312,1380,45869410,,,,,
15747,6/30/1983,,1,45870210,IK,INTERLAKE INC,,A,R,20988,3312,45870210,,,,,
15747,3/29/1963,,1,,IK,INTERLAKE IRON CORP,,A,R,20988,3312,45870210,,,,,
15747,1/31/1966,,1,,IK,INTERLAKE STL CORP,,A,R,20988,3312,45870210,,,,,
88447,9/29/2000,,3,45872610,ILND,INTERLAND INC,ILND,A,R,37939,7389,45872610,,,,,
